,Code,Country,Region,"Combined gross enrolment ratio for tertiary education, female","Combined gross enrolment ratio for tertiary education, male"
0,AFG,Afghanistan,AP,5.8231,15.05095
1,ALB,Albania,ECA,71.36869,45.05058
2,DZA,Algeria,MENA,66.42428,39.15606
3,AGO,Angola,SSA,,
4,ARG,Argentina,AME,125.99453,73.14957
5,ARM,Armenia,ECA,60.71513,42.17717
6,AUS,Australia,AP,133.15788,95.91199
7,AUT,Austria,WE/EU,96.91481,78.13976
8,AZE,Azerbaijan,ECA,38.48449,32.3691
9,BHS,Bahamas,AME,,
10,BHR,Bahrain,MENA,78.51047,45.25967
11,BGD,Bangladesh,AP,21.432364,26.402048
12,BRB,Barbados,AME,,
13,BLR,Belarus,ECA,92.33138,81.17774
14,BEL,Belgium,WE/EU,93.15635,69.25772
15,BEN,Benin,SSA,7.50968,14.59722
16,BTN,Bhutan,AP,17.03242,16.04932
17,BOL,Bolivia,AME,,
18,BIH,Bosnia and Herzegovina,ECA,46.17034,30.17627
19,BWA,Botswana,SSA,31.94718,20.34147
20,BRA,Brazil,AME,64.55419,45.057
21,BGR,Bulgaria,WE/EU,84.28183,67.10854
22,BFA,Burkina Faso,SSA,5.56166,10.05352
23,BDI,Burundi,SSA,4.10689,5.83764
24,CPV,Cabo Verde,SSA,,
25,KHM,Cambodia,AP,13.932986,11.869195
26,CMR,Cameroon,SSA,,
27,CAN,Canada,AME,90.9768,68.59669
28,CAF,Central African Republic,SSA,,
29,TCD,Chad,SSA,,
30,CHL,Chile,AME,99.47923,84.0987
31,CHN,China,AP,63.92701,53.57205
32,COL,Colombia,AME,58.58776,50.05438
33,COM,Comoros,SSA,,
34,COG,Congo,SSA,,
35,CRI,Costa Rica,AME,,
36,CIV,Cote d'Ivoire,SSA,8.71262,11.12261
37,HRV,Croatia,WE/EU,79.96888,56.81144
38,CUB,Cuba,AME,60.81452,33.34592
39,CYP,Cyprus,WE/EU,98.12272,87.47983
40,CZE,Czechia,WE/EU,79.42752,57.22677
41,COD,Democratic Republic of the Congo,SSA,5.23194,8.76297
42,DNK,Denmark,WE/EU,96.84692,69.56171
43,DJI,Djibouti,SSA,,
44,DMA,Dominica,AME,,
45,DOM,Dominican Republic,AME,,
46,ECU,Ecuador,AME,57.32951,48.00987
