"country_code","country_name","region","corruption_index_score","rank","latitude","longitude","female_gross_enrolment","male_gross_enrolment","income_less_than_two_one_five"
"AFG","Afghanistan","AP",24,150,"33.939110","67.709953","5.8231","15.05095","0"
"AGO","Angola","SSA",33,116,"-11.202692","17.873887","0","0","31.1"
"ALB","Albania","ECA",36,101,"41.153332","20.168331","71.36869","45.05058","0"
"ARE","United Arab Emirates","MENA",67,27,"23.424076","53.847818","66.34543","46.35613","0"
"ARG","Argentina","AME",38,94,"-38.416097","-63.616672","125.99453","73.14957","1"
"ARM","Armenia","ECA",46,63,"40.069099","45.038189","60.71513","42.17717","0.5"
"AUS","Australia","AP",75,13,"-25.274398","133.775136","133.15788","95.91199","0.5"
"AUT","Austria","WE/EU",71,22,"47.516231","14.550072","96.91481","78.13976","0.7"
"AZE","Azerbaijan","ECA",23,157,"40.143105","47.576927","38.48449","32.3691","0"
"BDI","Burundi","SSA",17,171,"-3.373056","29.918886","4.10689","5.83764","65.1"
"BEL","Belgium","WE/EU",73,18,"50.503887","4.469936","93.15635","69.25772","0.1"
"BEN","Benin","SSA",43,72,"9.307690","2.315834","7.50968","14.59722","20.1"
"BFA","Burkina Faso","SSA",42,77,"12.238333","-1.561593","5.56166","10.05352","31.2"
"BGD","Bangladesh","AP",25,147,"23.684994","90.356331","21.432364","26.402048","9.6"
"BGR","Bulgaria","WE/EU",43,72,"42.733883","25.485830","84.28183","67.10854","0.2"
"BHR","Bahrain","MENA",44,69,"25.930414","50.637772","78.51047","45.25967","0"
"BHS","Bahamas","AME",64,30,"25.034280","-77.396280","0","0","0"
"BIH","Bosnia and Herzegovina","ECA",34,110,"43.915886","17.679076","46.17034","30.17627","0.1"
"BLR","Belarus","ECA",39,91,"53.709807","27.953389","92.33138","81.17774","0"
"BOL","Bolivia","AME",31,126,"-16.290154","-63.588653","0","0","2"
"BRA","Brazil","AME",38,94,"-14.235004","-51.925280","64.55419","45.057","5.8"
"BRB","Barbados","AME",65,29,"13.193887","-59.543198","0","0","0"
"BTN","Bhutan","AP",68,25,"27.514162","90.433601","17.03242","16.04932","0"
"BWA","Botswana","SSA",60,35,"-22.328474","24.684866","31.94718","20.34147","15.4"
"CAF","Central African Republic","SSA",24,150,"6.611111","20.939444","0","0","65.7"
